met,altitude_km,velocity_ms,dynamic_pressure_kpa,thrust_kn,pitch_deg,booster_active,booster_alt_km,booster_vel_ms,booster_thrust_kn
6.26,0.435,60.2,2.25,240.6,89.51,0,0.0,0.0,0.0
6.3,0.437,60.6,2.28,240.8,89.5,0,0.0,0.0,0.0
6.36,0.441,61.19,2.32,241.0,89.48,0,0.0,0.0,0.0
6.4,0.443,61.58,2.35,241.4,89.48,0,0.0,0.0,0.0
6.46,0.447,62.17,2.4,240.9,89.46,0,0.0,0.0,0.0
6.5,0.449,62.56,2.43,240.2,89.45,0,0.0,0.0,0.0
6.56,0.453,63.15,2.47,240.7,89.44,0,0.0,0.0,0.0
6.6,0.456,63.55,2.5,241.1,89.43,0,0.0,0.0,0.0
6.66,0.459,64.14,2.55,241.1,89.42,0,0.0,0.0,0.0
6.7,0.462,64.54,2.58,241.4,89.41,0,0.0,0.0,0.0
6.76,0.466,65.13,2.63,240.7,89.4,0,0.0,0.0,0.0
6.8,0.469,65.53,2.66,241.0,89.39,0,0.0,0.0,0.0
6.86,0.472,66.13,2.71,241.6,89.37,0,0.0,0.0,0.0
6.92,0.476,66.72,2.76,241.2,89.36,0,0.0,0.0,0.0
6.96,0.479,67.12,2.79,241.1,89.35,0,0.0,0.0,0.0
7.0,0.482,67.52,2.82,241.0,89.34,0,0.0,0.0,0.0
7.06,0.486,68.12,2.87,240.9,89.33,0,0.0,0.0,0.0
7.12,0.49,68.72,2.92,241.5,89.31,0,0.0,0.0,0.0
7.16,0.493,69.12,2.96,241.4,89.3,0,0.0,0.0,0.0
7.2,0.496,69.52,2.99,241.5,89.3,0,0.0,0.0,0.0
7.26,0.5,70.13,3.04,240.9,89.28,0,0.0,0.0,0.0
7.32,0.504,70.73,3.09,241.0,89.27,0,0.0,0.0,0.0
7.36,0.507,71.13,3.13,241.6,89.26,0,0.0,0.0,0.0
7.4,0.51,71.53,3.16,241.9,89.25,0,0.0,0.0,0.0
7.46,0.514,72.14,3.22,241.8,89.23,0,0.0,0.0,0.0
7.52,0.518,72.75,3.27,241.1,89.22,0,0.0,0.0,0.0
7.56,0.521,73.15,3.31,241.5,89.21,0,0.0,0.0,0.0
7.6,0.524,73.55,3.34,241.1,89.2,0,0.0,0.0,0.0
7.66,0.529,74.16,3.4,241.3,89.18,0,0.0,0.0,0.0
7.72,0.533,74.77,3.45,241.1,89.17,0,0.0,0.0,0.0
7.76,0.536,75.17,3.49,241.9,89.16,0,0.0,0.0,0.0
7.8,0.539,75.58,3.52,241.5,89.15,0,0.0,0.0,0.0
7.86,0.544,76.19,3.58,241.4,89.14,0,0.0,0.0,0.0
7.92,0.548,76.8,3.64,241.5,89.12,0,0.0,0.0,0.0
7.96,0.551,77.21,3.67,241.5,89.11,0,0.0,0.0,0.0
8.02,0.556,77.82,3.73,241.5,89.1,0,0.0,0.0,0.0
8.06,0.559,78.23,3.77,241.6,89.09,0,0.0,0.0,0.0
8.12,0.564,78.84,3.83,241.2,89.08,0,0.0,0.0,0.0
8.16,0.567,79.25,3.87,242.1,89.07,0,0.0,0.0,0.0
8.22,0.572,79.87,3.93,241.3,89.05,0,0.0,0.0,0.0
8.26,0.575,80.28,3.96,241.9,89.05,0,0.0,0.0,0.0
8.32,0.58,80.9,4.02,242.1,89.03,0,0.0,0.0,0.0
8.36,0.583,81.31,4.06,241.3,89.02,0,0.0,0.0,0.0
8.42,0.588,81.92,4.12,241.4,89.01,0,0.0,0.0,0.0
8.46,0.591,82.34,4.17,241.5,89.0,0,0.0,0.0,0.0
